brand,category,facebook,x,instagram,youtube,facebook_norm,x_norm,instagram_norm,youtube_norm,brand_power_index
Bosch,Altro,1200000.0,241848.0,177000.0,34500.0,0.007407407407407408,0.007659733850789558,0.0005939597315436242,0.0012777777777777779,0.0032216607984735172
Umbro,Abbigliamento Sportivo,758200.0,165670.0,863000.0,16500.0,0.004680246913580247,0.005247048175136061,0.002895973154362416,0.0006111111111111111,0.0029200305463466373
Intesa San Paolo,Banche,518419.0,18281.0,76000.0,186000.0,0.003200117283950617,0.0005789900868573811,0.0002550335570469799,0.006888888888888889,0.00288280038145184
Barclays,Banche,625108.0,298042.0,76200.0,30800.0,0.0038586913580246915,0.009439492558784944,0.00025570469798657716,0.0011407407407407408,0.002619381021940204
Menabrea,Birra,35272.0,282000.0,15800.0,89000.0,0.0002177283950617284,0.008931415376280371,5.302013422818792e-05,0.0032962962962962963,0.002390703921323156
bet365,Scommesse,0.0,482720.0,0.0,8050.0,0.0,0.01528855613630518,0.0,0.00029814814814814813,0.0023827278648902214
socios.com,Criptovalute,272882.0,292516.0,340000.0,9820.0,0.0016844567901234569,0.009264474823432728,0.0011409395973154361,0.0003637037037037037,0.002235002551711114
poste italiane,Logistica,682422.0,83840.0,106000.0,56800.0,0.004212481481481481,0.0026553541317281787,0.00035570469798657715,0.0021037037037037036,0.001996407171461936
aeroitalia,Aviazione,29399.0,400000.0,19200.0,0.0,0.00018147530864197532,0.012668674292596271,6.442953020134228e-05,0.0,0.0019591465411883057
credit suisse,Banche,160715.0,363877.0,20900.0,0.0,0.000992067901234568,0.011524597988917635,7.013422818791946e-05,0.0,0.0019516502584503305
Estathé,Bevande,1300000.0,31502.0,97700.0,4150.0,0.008024691358024692,0.0009977214439134193,0.0003278523489932886,0.0001537037037037037,0.0019154559214507134
Lotto,Abbigliamento Sportivo,1100000.0,11521.0,399000.0,2020.0,0.006790123456790123,0.0003648894913125041,0.0013389261744966444,7.481481481481481e-05,0.0019038267205731705
enel,Energia,1000000.0,26271.0,75300.0,23900.0,0.006172839506172839,0.0008320468558519916,0.00025268456375838924,0.0008851851851851851,0.0017133700824833586
esselunga,E-Commerceretail,871057.0,0.0,280000.0,25000.0,0.005376895061728395,0.0,0.0009395973154362416,0.000925925925925926,0.0016820158505261415
Bridgestone,Pneumatici,496048.0,120154.0,139000.0,18000.0,0.0030620246913580246,0.003805479727381531,0.00046644295302013423,0.0006666666666666666,0.0015464819309358815
San Pellegrino,Bevande,922620.0,0.0,187000.0,12300.0,0.005695185185185185,0.0,0.00062751677852349,0.00045555555555555556,0.0014953345761869253
BYD,Auto,356612.0,87910.0,247000.0,28900.0,0.0022013086419753088,0.0027842578926553455,0.0008288590604026845,0.0010703703703703704,0.0014691121945454143
Illy,Bevande,692439.0,0.0,247000.0,20900.0,0.004274314814814815,0.0,0.0008288590604026845,0.000774074074074074,0.0013771858563261248
Fiji,Bevande,726276.0,47913.0,153000.0,5710.0,0.0044831851851851855,0.001517485478452913,0.0005134228187919463,0.0002114814814814815,0.0013674022898265998
