brand,category,facebook,x,instagram,youtube,facebook_log,x_log,instagram_log,youtube_log,facebook_log_z,x_log_z,instagram_log_z,youtube_log_z,cluster,PC1,PC2,cluster_name
okx,Criptovalute,204041.0,5697995.0,663000.0,254000.0,12.226081133988432,15.555625092039042,13.404531777462488,12.445093483000798,-0.33544436577241377,1.0039748823776442,0.21563930335427872,0.48102391551384305,1,0.6750897109371488,0.262954891404802,Brand con presenza media e bilanciata
bitget,Criptovalute,1200000.0,4479232.0,72200.0,1150000.0,13.997832948091215,15.314962384376715,11.187209175200515,13.955273369904273,0.09861521212095407,0.948597102254132,-0.3344448866124448,0.9025279741906099,0,0.7671457411689333,0.5814186748369345,Brand ad alta presenza omnicanale
bybit,Criptovalute,4400000.0,4939038.0,436000.0,81300.0,15.29711532616119,15.412681335826877,12.985399815906522,11.305913595583258,0.4169250092947402,0.9710827572185896,0.11165900507631202,0.1630691140537395,0,0.8304421539520316,-0.2719175581819705,Brand ad alta presenza omnicanale
coinbase,Criptovalute,414245.0,6724199.0,553000.0,122000.0,12.934215279237362,15.721223517268175,13.223115088821102,11.711784520403112,-0.16195934053806105,1.0420799684136821,0.1706325677011364,0.27635114329678706,1,0.6615292596644338,0.017364380168374882,Brand con presenza media e bilanciata
snaitech,Scommesse,0.0,0.0,1992.0,2160.0,0.0,0.0,7.597396320212795,7.6783263565068856,-3.330698878321892,-2.5754579030267473,-1.2250231427730898,-0.8494213566079648,5,-4.00004641595915,1.3637028385871968,Brand con presenza social selettiva su poche piattaforme
sisal,Scommesse,0.0,0.0,66300.0,16100.0,0.0,0.0,11.101960259016467,9.686636660844938,-3.330698878321892,-2.5754579030267473,-0.35559385291838724,-0.28888485913376144,5,-3.2766205560647506,1.6963085371643414,Brand con presenza social selettiva su poche piattaforme
betsson,Scommesse,280000.0,864000.0,0.0,46200.0,12.54254845357358,13.66932920519293,0.0,10.740756721857226,-0.2579133763512248,0.5699280793465109,-3.1098222227071766,0.005329020883089636,3,-1.4948368583357348,0.5270226037833525,Brand con presenza social moderatamente inferiore alla media
betway,Scommesse,252041.0,140409.0,0.0,30000.0,12.437351019272882,11.852321993108689,0.0,10.308985993422082,-0.2836855830251883,0.15182497209310536,-3.1098222227071766,-0.11518186396679549,3,-1.7735591009273133,0.5334158056872433,Brand con presenza social moderatamente inferiore alla media
bet365,Scommesse,0.0,482720.0,0.0,8050.0,0.0,13.087194125985041,0.0,8.993551586299981,-3.330698878321892,0.43597567462334164,-3.1098222227071766,-0.4823308018737347,5,-3.3210186088912828,1.2914463543430805,Brand con presenza social selettiva su poche piattaforme
bwin,Scommesse,0.0,57430.0,0.0,83000.0,0.0,10.958339506208922,0.0,11.326607934898927,-3.330698878321892,-0.05388519411706029,-3.1098222227071766,0.16884508027394546,5,-3.2638423045061353,1.9807443116838799,Brand con presenza social selettiva su poche piattaforme
